Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
38,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,3,Manufacturing Director,3,Married,6553,9,0,2,0,14,3,3,1,0
38,0,Travel_Rarely,Research & Development,29,3,Technical Degree,4,Male,3,Manufacturing Director,4,Married,6261,3,0,1,1,9,3,1,7,7
27,0,Travel_Frequently,Research & Development,1,1,Technical Degree,3,Male,2,Manufacturing Director,1,Married,4298,5,0,3,1,6,1,3,2,2
49,0,Non-Travel,Research & Development,18,4,Life Sciences,4,Male,3,Manufacturing Director,4,Divorced,6804,1,1,1,2,7,0,3,7,7
34,0,Travel_Frequently,Research & Development,10,4,Medical,4,Male,3,Research Scientist,3,Divorced,3815,1,1,4,1,5,4,4,5,3
40,0,Travel_Rarely,Research & Development,19,2,Medical,3,Male,3,Laboratory Technician,4,Married,2741,8,1,3,1,15,2,4,7,2
38,1,Travel_Rarely,Research & Development,29,1,Medical,2,Male,3,Healthcare Representative,1,Married,6673,7,1,2,0,17,2,3,1,0
29,1,Travel_Rarely,Sales,27,3,Marketing,2,Female,3,Sales Executive,4,Married,7639,1,0,4,3,10,3,2,10,4
22,0,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Male,4,Research Scientist,2,Divorced,2328,1,1,1,1,4,2,2,4,2
36,0,Travel_Frequently,Research & Development,18,1,Medical,2,Female,3,Laboratory Technician,4,Single,2153,1,0,1,0,8,2,3,8,1
40,0,Non-Travel,Research & Development,9,5,Life Sciences,4,Male,2,Healthcare Representative,4,Married,4876,9,0,4,1,5,5,1,3,2
46,0,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,Healthcare Representative,1,Divorced,9396,7,0,3,1,17,3,3,4,2
32,1,Travel_Rarely,Sales,4,4,Medical,4,Male,1,Sales Executive,4,Married,10400,1,0,3,0,14,2,2,14,8
30,0,Non-Travel,Research & Development,1,1,Life Sciences,3,Male,2,Manufacturing Director,3,Single,8474,1,0,3,0,12,2,3,11,8
27,0,Travel_Frequently,Sales,20,3,Life Sciences,4,Female,3,Sales Executive,3,Single,9981,1,0,4,0,7,2,3,7,7
51,0,Travel_Rarely,Research & Development,8,4,Life Sciences,2,Male,2,Research Director,2,Married,12490,5,0,4,2,16,5,1,10,9
30,1,Travel_Rarely,Research & Development,3,3,Technical Degree,4,Female,3,Research Scientist,1,Single,2657,5,1,3,0,8,5,3,5,2
41,0,Travel_Rarely,Sales,6,3,Life Sciences,4,Female,3,Manager,4,Single,13591,3,1,3,0,16,3,3,1,0
30,1,Travel_Frequently,Sales,26,4,Marketing,3,Female,2,Sales Executive,1,Single,6696,5,0,3,0,9,5,2,6,3
29,1,Travel_Rarely,Research & Development,1,3,Technical Degree,3,Male,3,Research Scientist,3,Single,2058,0,0,4,0,7,1,2,6,2
45,0,Non-Travel,Sales,6,3,Medical,4,Female,2,Sales Executive,4,Single,8865,6,0,4,0,23,2,3,19,7
54,0,Travel_Rarely,Sales,3,3,Marketing,4,Female,3,Sales Executive,1,Married,5940,2,0,4,1,16,4,3,6,2
36,0,Travel_Rarely,Research & Development,5,2,Life Sciences,4,Male,3,Laboratory Technician,2,Single,5914,8,0,4,0,16,3,4,13,11
33,0,Travel_Rarely,Research & Development,4,4,Medical,3,Female,2,Research Scientist,2,Married,2622,6,0,4,0,7,3,3,3,2
37,0,Travel_Frequently,Research & Development,11,3,Other,2,Male,3,Research Director,4,Divorced,12185,1,1,3,3,10,1,3,10,8
38,0,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,3,Sales Executive,3,Divorced,10609,0,0,3,2,17,6,2,16,10
31,0,Non-Travel,Research & Development,1,4,Medical,3,Male,1,Manufacturing Director,3,Married,4345,0,0,4,1,6,2,3,5,4
59,0,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,2,Research Scientist,4,Married,2177,3,0,1,1,7,6,3,1,0
37,0,Travel_Frequently,Sales,4,4,Marketing,1,Male,3,Sales Representative,4,Divorced,2793,4,0,3,1,13,2,3,9,8
29,0,Travel_Frequently,Sales,1,1,Medical,2,Female,3,Sales Executive,4,Married,7918,1,0,4,1,11,5,3,11,10
35,0,Travel_Frequently,Sales,1,3,Marketing,3,Female,3,Sales Executive,3,Single,8789,1,0,1,0,10,3,4,10,7
29,1,Travel_Rarely,Research & Development,18,1,Medical,3,Male,2,Research Scientist,4,Single,2389,1,1,3,0,4,3,2,4,3
52,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,2,Laboratory Technician,4,Single,3212,7,0,2,0,6,3,2,2,2
42,0,Travel_Rarely,Research & Development,4,2,Technical Degree,3,Male,3,Manager,4,Married,19232,1,0,4,0,22,3,3,22,17
59,0,Travel_Rarely,Human Resources,6,2,Medical,2,Male,3,Human Resources,3,Married,2267,8,0,4,0,7,2,2,2,2
50,0,Travel_Rarely,Sales,1,4,Medical,4,Female,3,Manager,4,Divorced,19517,3,0,3,1,32,3,2,7,0
33,1,Travel_Rarely,Research & Development,14,3,Medical,3,Male,3,Laboratory Technician,4,Married,2436,5,1,3,1,8,2,1,5,4
43,0,Travel_Rarely,Sales,16,3,Marketing,4,Female,3,Manager,4,Married,16064,5,1,3,1,22,3,3,17,13
33,1,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Female,3,Laboratory Technician,1,Married,2707,7,0,1,0,13,3,4,9,7
52,0,Non-Travel,Sales,2,4,Life Sciences,1,Male,2,Manager,3,Single,19068,1,1,4,0,33,2,4,33,7
32,0,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,3,Sales Representative,2,Married,3931,2,0,1,1,6,5,3,4,3
32,1,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Male,2,Laboratory Technician,3,Single,3730,0,1,4,0,4,2,1,3,2
39,0,Travel_Rarely,Research & Development,1,4,Medical,3,Female,3,Laboratory Technician,3,Divorced,2232,7,0,3,3,7,1,3,3,2
32,0,Non-Travel,Sales,26,4,Marketing,3,Male,3,Sales Executive,4,Married,4465,0,0,1,0,4,2,3,3,2
41,0,Travel_Rarely,Research & Development,19,2,Life Sciences,3,Male,3,Research Scientist,1,Divorced,3072,2,0,1,2,17,2,2,1,0
40,0,Travel_Rarely,Research & Development,24,2,Technical Degree,1,Male,3,Research Scientist,4,Divorced,3319,1,0,1,2,9,3,3,9,8
45,0,Travel_Rarely,Research & Development,1,3,Other,3,Male,4,Manager,4,Married,19202,0,0,3,1,25,2,3,24,0
31,0,Travel_Frequently,Research & Development,3,4,Medical,2,Male,3,Research Director,3,Divorced,13675,9,0,1,1,9,3,3,2,2
33,0,Travel_Rarely,Research & Development,5,4,Life Sciences,3,Female,2,Research Scientist,4,Married,2911,1,0,3,1,2,2,2,2,2
34,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,Manufacturing Director,1,Married,5957,6,0,2,1,13,3,3,11,9
37,0,Travel_Rarely,Research & Development,1,2,Medical,3,Female,2,Research Scientist,1,Married,3920,2,0,1,1,17,2,2,3,1
45,0,Travel_Frequently,Research & Development,7,4,Life Sciences,1,Male,4,Manufacturing Director,3,Married,6434,4,0,4,1,9,1,3,3,2
37,1,Travel_Frequently,Research & Development,10,3,Medical,1,Male,3,Manufacturing Director,3,Divorced,10048,6,0,2,2,17,5,3,1,0
39,0,Travel_Frequently,Research & Development,2,4,Technical Degree,3,Female,3,Healthcare Representative,3,Single,10938,0,0,4,0,20,1,3,19,6
29,0,Travel_Rarely,Research & Development,15,3,Life Sciences,3,Male,3,Research Scientist,4,Single,2340,1,0,1,0,6,1,3,6,5
42,0,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Female,4,Research Scientist,1,Single,6545,3,1,3,0,10,1,3,3,2
29,0,Travel_Rarely,Sales,20,2,Marketing,4,Male,3,Sales Executive,4,Divorced,6931,2,0,4,1,10,2,3,3,2
25,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,3,Manufacturing Director,3,Married,4898,0,0,4,2,5,3,3,4,2
42,0,Travel_Rarely,Research & Development,2,3,Medical,4,Female,2,Laboratory Technician,1,Divorced,2593,0,1,3,1,10,4,3,9,6
40,0,Travel_Rarely,Research & Development,2,2,Medical,1,Male,3,Research Director,3,Divorced,19436,0,0,4,1,22,5,3,21,7
51,0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Male,3,Research Scientist,4,Married,2723,1,0,2,0,1,0,2,1,0
31,1,Travel_Frequently,Research & Development,29,2,Medical,3,Male,2,Laboratory Technician,2,Single,3479,0,0,2,0,6,2,4,5,4
32,0,Travel_Frequently,Research & Development,7,3,Life Sciences,2,Male,4,Laboratory Technician,2,Married,2794,1,0,3,0,5,3,1,5,1
38,0,Non-Travel,Sales,2,2,Life Sciences,4,Male,2,Sales Executive,4,Married,5249,3,0,4,1,13,0,3,8,7
32,0,Travel_Rarely,Research & Development,2,1,Technical Degree,4,Male,2,Laboratory Technician,1,Single,2176,4,0,4,0,9,5,3,6,2
46,0,Travel_Rarely,Sales,2,3,Technical Degree,3,Female,1,Manager,2,Married,16872,3,1,2,1,28,2,2,7,7
28,1,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,3,Laboratory Technician,3,Single,3485,2,0,3,0,5,5,1,0,0
29,0,Travel_Rarely,Sales,2,3,Medical,1,Male,2,Sales Executive,2,Married,6644,2,0,2,2,10,2,3,0,0
31,0,Travel_Rarely,Research & Development,23,3,Medical,2,Male,2,Healthcare Representative,4,Married,5582,0,0,2,1,10,2,3,9,0
25,0,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,4,Healthcare Representative,1,Divorced,4000,1,0,4,2,6,2,3,6,3
45,0,Travel_Rarely,Research & Development,20,2,Medical,3,Male,3,Healthcare Representative,4,Married,13496,0,1,2,0,21,2,3,20,7
36,0,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Male,3,Laboratory Technician,4,Married,3210,0,0,3,1,16,4,3,15,13
55,0,Travel_Rarely,Research & Development,1,3,Medical,4,Male,3,Manager,1,Single,19045,0,1,3,0,37,2,3,36,10
47,1,Non-Travel,Research & Development,29,4,Life Sciences,1,Male,3,Manager,2,Married,11849,1,1,4,1,10,2,2,10,7
28,0,Travel_Rarely,Research & Development,9,3,Medical,4,Male,3,Research Scientist,4,Married,2070,1,0,4,1,5,3,2,5,2
37,0,Travel_Rarely,Sales,6,4,Medical,3,Male,3,Sales Executive,4,Married,6502,4,0,2,1,7,5,4,5,4
21,0,Travel_Rarely,Research & Development,3,2,Medical,4,Male,2,Research Scientist,3,Single,3230,1,0,1,0,3,4,4,3,2
37,0,Non-Travel,Research & Development,1,4,Medical,1,Female,3,Research Director,4,Divorced,13603,2,1,1,2,15,2,3,5,2
35,0,Travel_Rarely,Research & Development,22,3,Life Sciences,2,Female,4,Manager,2,Divorced,11996,7,0,2,1,10,6,2,7,7
38,0,Travel_Rarely,Sales,7,2,Medical,1,Female,4,Sales Executive,1,Divorced,5605,1,1,3,1,8,3,3,8,0
26,0,Travel_Frequently,Research & Development,1,3,Life Sciences,3,Female,3,Manufacturing Director,2,Divorced,6397,1,0,1,1,6,6,1,6,5
50,0,Travel_Rarely,Research & Development,4,1,Life Sciences,1,Male,3,Research Director,2,Divorced,19144,3,0,1,2,28,4,2,10,4
53,0,Travel_Rarely,Research & Development,3,4,Medical,3,Male,3,Research Director,3,Married,17584,3,1,4,3,21,5,2,5,3
42,0,Travel_Rarely,Sales,1,1,Life Sciences,2,Male,3,Sales Executive,3,Married,4907,1,0,3,0,20,3,3,20,16
29,0,Travel_Frequently,Sales,2,2,Life Sciences,2,Male,3,Sales Executive,4,Single,4554,1,0,1,0,10,3,2,10,7
55,0,Travel_Rarely,Research & Development,20,2,Technical Degree,2,Male,3,Laboratory Technician,4,Married,5415,3,1,4,1,12,4,3,10,7
26,0,Travel_Frequently,Research & Development,11,2,Medical,1,Male,3,Healthcare Representative,1,Married,4741,1,1,3,1,5,3,3,5,3
37,0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,3,Research Scientist,4,Single,2115,1,0,2,0,17,3,3,17,12
44,1,Travel_Frequently,Research & Development,24,3,Life Sciences,4,Male,3,Laboratory Technician,3,Divorced,3161,3,1,4,1,19,0,1,1,0
38,0,Travel_Rarely,Research & Development,23,4,Life Sciences,4,Male,3,Healthcare Representative,4,Divorced,5745,9,0,2,1,10,2,3,2,2
26,1,Travel_Rarely,Research & Development,16,4,Medical,1,Male,3,Laboratory Technician,2,Divorced,2373,2,1,4,1,5,2,3,3,2
28,0,Travel_Rarely,Research & Development,8,2,Life Sciences,4,Female,3,Research Scientist,4,Single,3310,1,0,4,0,5,3,3,5,3
49,0,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,3,Research Director,1,Single,18665,9,1,4,0,22,4,3,3,2
36,0,Travel_Rarely,Research & Development,3,3,Technical Degree,3,Male,3,Research Scientist,2,Single,4485,4,0,4,0,10,2,3,8,0
31,0,Travel_Frequently,Sales,5,3,Marketing,4,Female,3,Sales Representative,2,Divorced,2789,1,0,3,1,2,5,2,2,2
26,1,Travel_Rarely,Sales,4,4,Marketing,4,Male,2,Sales Executive,4,Single,5828,1,1,2,0,8,0,3,8,7
37,0,Travel_Frequently,Research & Development,9,3,Medical,2,Male,3,Research Scientist,4,Married,2326,1,1,3,3,4,3,2,4,2
42,0,Travel_Frequently,Sales,26,3,Marketing,3,Female,3,Sales Executive,2,Married,13525,5,0,4,1,23,2,4,20,4
18,1,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,3,Laboratory Technician,3,Single,1420,1,0,3,0,0,2,3,0,0
35,0,Travel_Rarely,Sales,16,3,Marketing,3,Male,3,Sales Executive,2,Married,8020,0,0,3,2,12,3,2,11,9
36,0,Travel_Frequently,Research & Development,18,4,Life Sciences,3,Male,4,Laboratory Technician,4,Married,3688,4,0,4,2,4,2,3,1,0
51,0,Travel_Rarely,Research & Development,2,3,Medical,4,Male,1,Manufacturing Director,2,Divorced,5482,5,0,4,1,13,3,3,4,1
41,0,Travel_Rarely,Sales,2,4,Life Sciences,4,Male,3,Manager,2,Single,16015,1,0,2,0,22,2,3,22,10
18,0,Travel_Rarely,Sales,10,3,Medical,4,Female,2,Sales Representative,3,Single,1200,1,0,1,0,0,2,3,0,0
28,0,Travel_Rarely,Research & Development,16,2,Medical,2,Male,4,Healthcare Representative,1,Single,5661,0,0,3,0,9,2,3,8,3
31,0,Travel_Rarely,Sales,7,3,Technical Degree,2,Male,4,Sales Executive,4,Married,6929,4,0,2,1,10,3,2,8,7
39,0,Travel_Rarely,Research & Development,1,3,Medical,3,Male,4,Healthcare Representative,4,Divorced,9613,0,0,1,3,19,5,2,18,10
36,0,Non-Travel,Research & Development,24,4,Life Sciences,2,Female,3,Laboratory Technician,2,Married,5674,7,0,3,1,11,3,3,9,8
32,0,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,2,Sales Executive,3,Married,5484,1,0,3,1,13,3,2,13,8
38,0,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Female,2,Research Director,2,Married,12061,3,0,3,1,19,2,3,10,8
58,0,Non-Travel,Research & Development,1,4,Life Sciences,4,Male,1,Healthcare Representative,3,Divorced,5660,2,1,4,1,12,2,3,5,3
31,0,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Research Scientist,4,Married,4821,0,1,3,1,6,4,3,5,2
31,0,Travel_Rarely,Human Resources,2,3,Human Resources,1,Male,2,Human Resources,1,Married,6410,3,0,4,0,9,1,3,2,2
45,0,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,3,Laboratory Technician,1,Divorced,5210,1,0,1,1,24,2,3,24,9
31,0,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Male,3,Research Scientist,4,Divorced,2695,0,1,2,1,3,2,1,2,2
33,0,Travel_Frequently,Research & Development,5,4,Life Sciences,4,Female,3,Manager,2,Married,11878,6,0,2,2,12,2,3,10,6
39,0,Travel_Rarely,Research & Development,10,1,Medical,3,Male,3,Manager,1,Married,17068,1,1,4,0,21,3,3,21,9
43,0,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,3,Laboratory Technician,4,Single,2455,0,0,1,0,9,5,3,8,7
49,0,Travel_Rarely,Research & Development,1,2,Technical Degree,3,Female,2,Healthcare Representative,3,Single,13964,7,1,4,0,25,2,3,7,1
52,1,Travel_Rarely,Research & Development,8,4,Medical,3,Male,2,Research Scientist,2,Married,4941,2,0,1,0,11,3,2,8,2
27,0,Travel_Rarely,Research & Development,5,3,Life Sciences,3,Female,3,Research Scientist,2,Single,2478,1,1,2,0,4,2,2,4,3
32,0,Travel_Rarely,Sales,8,2,Technical Degree,3,Female,2,Sales Executive,2,Married,5228,1,1,4,0,13,2,3,13,12
27,0,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,3,Sales Executive,3,Single,4478,1,1,1,0,5,3,3,5,4
31,0,Travel_Rarely,Sales,7,3,Marketing,4,Male,3,Sales Executive,4,Divorced,7547,4,0,4,3,13,3,3,7,7
32,0,Travel_Rarely,Research & Development,2,4,Medical,1,Female,4,Research Scientist,4,Single,5055,7,0,3,0,10,0,2,7,7
28,1,Travel_Rarely,Research & Development,2,4,Medical,1,Male,1,Research Scientist,4,Married,3464,5,1,4,0,5,4,2,3,2
30,0,Travel_Rarely,Research & Development,28,2,Medical,4,Female,3,Research Scientist,4,Married,5775,1,0,4,2,11,2,3,10,8
31,0,Travel_Frequently,Research & Development,7,2,Life Sciences,3,Female,2,Manufacturing Director,3,Married,8943,1,0,1,1,10,2,3,10,9
39,0,Travel_Frequently,Research & Development,7,2,Medical,3,Male,2,Manager,4,Married,19272,1,0,1,1,21,2,3,21,9
39,1,Travel_Rarely,Sales,3,2,Medical,4,Female,3,Sales Executive,3,Married,5238,4,1,1,0,12,3,2,1,0
33,0,Travel_Frequently,Sales,10,3,Marketing,2,Male,2,Sales Executive,4,Single,4682,3,0,3,0,9,6,2,7,7
47,0,Travel_Rarely,Research & Development,5,5,Life Sciences,4,Male,3,Research Director,3,Married,18300,4,0,2,1,21,2,3,3,2
43,0,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,2,Laboratory Technician,3,Divorced,5257,1,0,2,1,9,3,4,9,7
27,0,Non-Travel,Sales,1,1,Marketing,3,Male,3,Sales Executive,2,Married,6349,0,1,4,1,6,0,3,5,4
54,0,Travel_Frequently,Research & Development,20,4,Life Sciences,4,Female,3,Research Scientist,3,Single,4869,3,0,4,0,20,4,2,4,3
43,0,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Female,3,Healthcare Representative,1,Married,9985,8,0,1,1,10,1,2,1,0
45,0,Travel_Rarely,Research & Development,8,4,Other,4,Male,3,Research Scientist,4,Married,3697,9,0,1,2,12,3,3,10,9
40,0,Travel_Rarely,Sales,1,2,Medical,2,Male,1,Sales Executive,4,Married,7457,2,1,3,3,6,2,2,4,3
29,1,Travel_Rarely,Research & Development,8,4,Other,2,Male,1,Laboratory Technician,1,Married,2119,1,1,4,0,7,4,2,7,7
29,0,Travel_Rarely,Research & Development,9,5,Other,2,Male,2,Laboratory Technician,4,Single,3983,0,0,3,0,4,2,3,3,2
30,0,Travel_Rarely,Sales,5,3,Marketing,4,Female,2,Sales Executive,3,Divorced,6118,1,0,3,3,10,2,3,10,9
27,0,Travel_Rarely,Sales,8,4,Marketing,2,Female,3,Sales Executive,2,Married,6214,1,0,1,1,8,3,3,8,7
37,0,Travel_Rarely,Research & Development,5,2,Medical,4,Male,3,Manufacturing Director,4,Divorced,6347,7,0,3,2,8,2,2,6,2
38,0,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,2,Research Director,4,Divorced,11510,0,1,2,1,12,3,3,11,10
31,0,Travel_Rarely,Research & Development,7,4,Medical,3,Female,3,Manufacturing Director,4,Single,7143,1,1,3,0,11,2,2,11,9
29,0,Travel_Rarely,Sales,10,1,Marketing,4,Female,2,Sales Executive,2,Divorced,8268,1,1,1,2,7,2,3,7,7
35,0,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Manufacturing Director,2,Single,8095,0,0,4,0,17,5,3,16,6
23,0,Travel_Rarely,Research & Development,26,1,Life Sciences,3,Male,3,Research Scientist,4,Divorced,2904,1,0,3,2,4,2,2,4,2
41,0,Travel_Rarely,Research & Development,6,3,Medical,4,Male,2,Manufacturing Director,2,Single,6032,6,1,4,0,8,3,3,5,4
47,0,Travel_Frequently,Sales,4,1,Medical,2,Male,3,Sales Representative,3,Single,2976,3,0,1,0,5,3,3,0,0
42,0,Travel_Rarely,Research & Development,23,5,Life Sciences,1,Female,3,Research Director,4,Single,15992,2,0,2,0,16,2,3,1,0
29,0,Non-Travel,Sales,2,3,Life Sciences,4,Male,3,Sales Executive,3,Married,4649,1,0,1,1,4,3,2,4,3
42,0,Travel_Rarely,Human Resources,2,1,Technical Degree,3,Male,3,Human Resources,3,Divorced,2696,0,1,3,1,4,5,3,3,2
32,0,Travel_Rarely,Research & Development,2,3,Medical,3,Female,3,Laboratory Technician,2,Married,2370,1,0,3,1,8,4,3,8,0
48,0,Travel_Rarely,Sales,29,1,Medical,1,Female,3,Manager,3,Married,12504,3,0,2,1,15,3,1,0,0
37,0,Travel_Rarely,Research & Development,6,3,Medical,3,Male,4,Research Scientist,1,Divorced,5974,4,1,1,2,13,2,3,7,7
30,0,Non-Travel,Sales,25,2,Technical Degree,4,Female,3,Sales Executive,3,Married,4736,7,1,2,1,4,2,4,2,2
26,0,Travel_Rarely,Sales,1,3,Life Sciences,3,Male,3,Sales Executive,3,Married,5296,1,0,2,1,8,3,3,8,7
42,0,Travel_Rarely,Research & Development,2,4,Other,1,Male,2,Healthcare Representative,4,Single,6781,3,0,2,0,14,6,3,1,0
21,1,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,2,Sales Representative,2,Single,2174,1,1,3,0,3,3,3,3,2
36,0,Non-Travel,Sales,1,5,Medical,4,Female,3,Sales Executive,4,Single,6653,4,0,2,0,7,6,3,1,0
36,0,Travel_Frequently,Sales,3,4,Medical,1,Male,2,Sales Executive,4,Married,9699,4,0,1,1,16,2,3,13,9
57,0,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,Healthcare Representative,3,Married,6755,2,0,3,0,15,2,3,3,2
40,0,Travel_Rarely,Research & Development,10,4,Life Sciences,4,Female,4,Laboratory Technician,3,Married,2213,3,1,3,1,10,3,3,7,7
21,0,Non-Travel,Sales,9,2,Medical,1,Male,3,Sales Representative,4,Single,2610,1,0,3,0,3,3,2,3,2
33,1,Travel_Rarely,Sales,5,3,Marketing,4,Female,3,Sales Representative,3,Single,2851,1,1,2,0,1,2,3,1,0
37,0,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,Laboratory Technician,1,Married,3452,6,0,2,1,17,3,3,5,4
46,0,Non-Travel,Research & Development,7,4,Medical,3,Female,3,Manufacturing Director,3,Married,5258,2,0,3,0,7,2,4,1,0
41,1,Travel_Frequently,Sales,4,3,Marketing,1,Male,3,Sales Executive,2,Single,9355,1,0,3,0,8,5,3,8,7
50,0,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,2,Healthcare Representative,4,Single,10496,6,0,4,0,20,2,3,4,3
40,1,Travel_Rarely,Sales,22,2,Marketing,3,Male,2,Sales Executive,3,Married,6380,2,1,1,2,8,6,3,6,4
31,0,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,Research Scientist,2,Single,2657,0,1,4,0,3,5,3,2,2
21,1,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,4,Sales Representative,2,Single,2716,1,0,4,0,1,0,3,1,0
29,0,Travel_Rarely,Research & Development,23,3,Life Sciences,4,Male,3,Research Scientist,4,Single,2201,9,0,4,0,6,4,3,3,2
35,0,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,Healthcare Representative,2,Single,6540,9,0,3,0,10,5,3,1,1
27,0,Travel_Rarely,Research & Development,1,2,Medical,4,Male,3,Laboratory Technician,2,Divorced,3816,1,0,2,1,5,2,3,5,2
28,0,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,3,Sales Executive,4,Single,5253,1,0,4,0,7,1,3,7,5
49,0,Travel_Rarely,Research & Development,7,3,Other,2,Male,2,Healthcare Representative,3,Single,10965,8,0,3,0,26,2,3,5,2
51,0,Travel_Rarely,Sales,14,2,Life Sciences,3,Female,3,Sales Executive,4,Married,4936,4,0,3,1,18,2,2,7,7
36,0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,3,Research Scientist,3,Married,2543,4,0,2,1,6,3,3,2,2
34,1,Non-Travel,Sales,19,3,Marketing,1,Male,4,Sales Executive,4,Single,5304,8,1,2,0,9,3,2,5,2
55,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,3,Manager,4,Single,16659,2,1,3,0,30,2,3,5,4
24,0,Travel_Rarely,Sales,10,4,Marketing,4,Female,3,Sales Executive,3,Divorced,4260,1,1,4,1,5,2,4,5,2
30,0,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,Sales Representative,2,Married,2476,1,0,1,1,1,3,3,1,0
26,1,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,3,Research Scientist,1,Single,3102,0,0,3,0,7,2,3,6,4
22,0,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,Research Scientist,2,Married,2244,1,0,4,1,2,1,3,2,1
36,0,Travel_Rarely,Sales,2,2,Medical,2,Male,2,Sales Executive,3,Married,7596,1,0,2,2,10,2,3,10,9
30,1,Travel_Frequently,Research & Development,4,3,Technical Degree,3,Male,3,Research Scientist,4,Single,2285,9,1,3,0,3,4,3,1,0
37,0,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Female,3,Laboratory Technician,1,Divorced,3034,1,0,3,1,18,2,2,18,7
40,0,Travel_Rarely,Sales,2,2,Marketing,4,Female,3,Sales Executive,2,Divorced,5715,7,0,3,2,8,5,3,5,4
42,0,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,Laboratory Technician,1,Divorced,2576,3,0,2,1,8,5,3,5,2
37,0,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,3,Manufacturing Director,2,Single,4197,2,1,4,0,18,2,2,1,0
43,0,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,2,Research Director,2,Divorced,14336,1,0,3,1,25,3,3,25,10
40,0,Travel_Rarely,Research & Development,2,3,Medical,2,Female,2,Laboratory Technician,3,Married,3448,6,0,2,1,20,3,3,1,0
54,0,Travel_Rarely,Research & Development,5,2,Medical,1,Male,3,Research Director,1,Married,19406,4,0,3,1,24,4,2,4,2
34,0,Non-Travel,Sales,4,4,Marketing,3,Female,3,Sales Executive,3,Married,6538,9,0,1,1,6,3,3,3,2
31,0,Travel_Rarely,Research & Development,7,2,Medical,2,Female,3,Manufacturing Director,1,Married,4306,1,0,2,1,13,5,1,13,10
43,0,Travel_Frequently,Research & Development,21,3,Medical,4,Male,3,Laboratory Technician,4,Married,2258,7,0,1,1,8,1,3,3,2
43,0,Travel_Rarely,Research & Development,8,4,Other,3,Female,3,Healthcare Representative,3,Divorced,4522,4,1,4,0,8,3,3,5,2
25,0,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,2,Sales Executive,4,Single,4487,1,1,2,0,5,3,3,5,4
37,0,Non-Travel,Research & Development,25,5,Medical,2,Female,3,Research Scientist,3,Married,4449,3,1,1,2,15,2,3,13,11
